년월,시도명,시군구명,성별코드,가맹점업종명,총결제금액
2019-04,경기도,과천시,M,의류,30000
2019-04,경기도,과천시,M,음료식품,75000
2019-04,경기도,과천시,M,의원,75300
2019-04,경기도,과천시,M,보건위생,108000
2019-04,경기도,과천시,M,일반휴게음식,996000
2019-04,경기도,광명시,F,주방용구,5000
2019-04,경기도,광명시,F,건축자재,11000
2019-04,경기도,광명시,F,자동차정비 유지,11500
2019-04,경기도,광명시,F,건강식품,13000
2019-04,경기도,광명시,F,가구,13000
2019-04,경기도,광명시,F,광학제품,33000
2019-04,경기도,광명시,F,기타의료기관,138200
2019-04,경기도,광명시,F,용역 서비스,156000
2019-04,경기도,광명시,F,문화.취미,294000
2019-04,경기도,광명시,F,서적문구,298450
2019-04,경기도,광명시,F,신변잡화,311300
2019-04,경기도,광명시,F,레저업소,324000
2019-04,경기도,광명시,F,회원제형태,478700
2019-04,경기도,광명시,F,약국,530990
2019-04,경기도,광명시,F,레져용품,642000
2019-04,경기도,광명시,F,수리서비스,655490
2019-04,경기도,광명시,F,의류,957800
2019-04,경기도,광명시,F,의원,2177800
2019-04,경기도,광명시,F,보건위생,4280640
2019-04,경기도,광명시,F,학원,4932000
2019-04,경기도,광명시,F,유통업 영리,5347594
2019-04,경기도,광명시,F,음료식품,6718360
2019-04,경기도,광명시,F,일반휴게음식,20361100
2019-04,경기도,광명시,M,건축자재,7700
2019-04,경기도,광명시,M,기타의료기관,8570
2019-04,경기도,광명시,M,가구,15500
2019-04,경기도,광명시,M,건강식품,18000
2019-04,경기도,광명시,M,주방용구,111800
2019-04,경기도,광명시,M,서적문구,113800
2019-04,경기도,광명시,M,레져용품,128000
2019-04,경기도,광명시,M,의류,159000
2019-04,경기도,광명시,M,기타,165000
2019-04,경기도,광명시,M,신변잡화,235700
2019-04,경기도,광명시,M,자동차정비 유지,256800
2019-04,경기도,광명시,M,문화.취미,282500
2019-04,경기도,광명시,M,약국,329570
2019-04,경기도,광명시,M,수리서비스,407120
2019-04,경기도,광명시,M,의원,443400
2019-04,경기도,광명시,M,레저업소,763600
2019-04,경기도,광명시,M,보건위생,1440200
2019-04,경기도,광명시,M,회원제형태,1567200
2019-04,경기도,광명시,M,학원,2758000
2019-04,경기도,광명시,M,음료식품,3636560
2019-04,경기도,광명시,M,유통업 영리,3751150
2019-04,경기도,광명시,M,일반휴게음식,23185040
2019-04,경기도,광주시,F,신변잡화,11500
2019-04,경기도,광주시,F,서적문구,15000
2019-04,경기도,광주시,F,가구,20500
2019-04,경기도,광주시,F,용역 서비스,30000
2019-04,경기도,광주시,F,의류,30000
2019-04,경기도,광주시,F,자동차정비 유지,36100
2019-04,경기도,광주시,F,문화.취미,76000
2019-04,경기도,광주시,F,레져용품,104300
2019-04,경기도,광주시,F,수리서비스,123620
2019-04,경기도,광주시,F,약국,165100
2019-04,경기도,광주시,F,보건위생,192000
2019-04,경기도,광주시,F,주방용구,200000
2019-04,경기도,광주시,F,의원,348500
2019-04,경기도,광주시,F,유통업 영리,516340
2019-04,경기도,광주시,F,학원,655000
2019-04,경기도,광주시,F,음료식품,1677420
2019-04,경기도,광주시,F,일반휴게음식,3017900
2019-04,경기도,광주시,M,사무통신,4500
2019-04,경기도,광주시,M,건축자재,8000
2019-04,경기도,광주시,M,기타,21000
2019-04,경기도,광주시,M,서적문구,32000
2019-04,경기도,광주시,M,신변잡화,33000
2019-04,경기도,광주시,M,연료판매점,50000
2019-04,경기도,광주시,M,주방용구,50000
2019-04,경기도,광주시,M,기타의료기관,50200
2019-04,경기도,광주시,M,레져용품,55900
2019-04,경기도,광주시,M,약국,56200
2019-04,경기도,광주시,M,자동차정비 유지,60000
2019-04,경기도,광주시,M,레저업소,72200
2019-04,경기도,광주시,M,가구,86000
2019-04,경기도,광주시,M,수리서비스,121240
2019-04,경기도,광주시,M,문화.취미,130840
2019-04,경기도,광주시,M,의원,147410
2019-04,경기도,광주시,M,보건위생,222100
2019-04,경기도,광주시,M,의류,249500
2019-04,경기도,광주시,M,회원제형태,354000
2019-04,경기도,광주시,M,음료식품,588950
2019-04,경기도,광주시,M,유통업 영리,1300390
2019-04,경기도,광주시,M,일반휴게음식,6058718
2019-04,경기도,구리시,M,보건위생,40000
2019-04,경기도,군포시,F,여행,3700
2019-04,경기도,군포시,F,가구,6000
2019-04,경기도,군포시,F,사무통신,12200
2019-04,경기도,군포시,F,주방용구,20000
2019-04,경기도,군포시,F,직물,22000
2019-04,경기도,군포시,F,기타,54000
2019-04,경기도,군포시,F,광학제품,82000
2019-04,경기도,군포시,F,건강식품,222300
2019-04,경기도,군포시,F,문화.취미,321800
2019-04,경기도,군포시,F,용역 서비스,378900
2019-04,경기도,군포시,F,자동차정비 유지,492200
2019-04,경기도,군포시,F,기타의료기관,720060
2019-04,경기도,군포시,F,서적문구,750170
2019-04,경기도,군포시,F,수리서비스,815190
2019-04,경기도,군포시,F,신변잡화,984750
2019-04,경기도,군포시,F,레져용품,1067000
2019-04,경기도,군포시,F,유통업 비영리,1225990
2019-04,경기도,군포시,F,회원제형태,1296800
